IATA,Nome,País,Grau,DC,BC,EC
YZP,Sandspit Airport,Canada,2,0.0003297065611605671,0.0,4.467991198571947e-05
YZR,Chris Hadfield Airport,Canada,2,0.0003297065611605671,0.0,0.00011225980897399859
YZT,Port Hardy Airport,Canada,2,0.0003297065611605671,0.0,4.467991198571947e-05
YZU,Whitecourt Airport,Canada,0,0.0,0.0,3.2879294820093764e-76
YZV,Sept-Îles Airport,Canada,20,0.003297065611605671,0.0013082528025737225,0.00034448784680100246
YZW,Teslin Airport,Canada,0,0.0,0.0,3.2879294820093764e-76
YZX,CFB Greenwood,Canada,0,0.0,0.0,3.2879294820093764e-76
ZFA,Faro Airport,Canada,0,0.0,0.0,3.2879294820093764e-76
ZFM,Fort Mcpherson Airport,Canada,2,0.0003297065611605671,0.0,6.646296796656688e-12
QLD,Blida Airport,Algeria,0,0.0,0.0,3.2879294820093764e-76
BUJ,Bou Saada Airport,Algeria,0,0.0,0.0,3.2879294820093764e-76
BJA,Soummam Airport,Algeria,8,0.0013188262446422684,0.0,8.131917581734788e-05
ALG,Houari Boumediene Airport,Algeria,124,0.02044180679195516,0.0034435444787197927,0.006222677932464463
DJG,Djanet Inedbirene Airport,Algeria,3,0.0004945598417408506,0.0,6.548752998044128e-06
VVZ,Illizi Takhamalt Airport,Algeria,0,0.0,0.0,3.2879294820093764e-76
TMR,Aguenar – Hadj Bey Akhamok Airport,Algeria,8,0.0013188262446422684,8.154325502734554e-08,2.2663412124447697e-08
GJL,Jijel Ferhat Abbas Airport,Algeria,0,0.0,0.0,3.2879294820093764e-76
MZW,Mecheria Airport,Algeria,0,0.0,0.0,3.2879294820093764e-76
AAE,Rabah Bitat Airport,Algeria,14,0.0023079459281239697,0.0,0.0002409013899893121
CZL,Mohamed Boudiaf International Airport,Algeria,22,0.0036267721727662383,0.00032652637421450064,0.00028030000723895486
TEE,Cheikh Larbi Tébessi Airport,Algeria,2,0.0003297065611605671,0.0,6.548752998044128e-06
HRM,Hassi R'Mel Airport,Algeria,4,0.0006594131223211342,0.0,6.581750169338398e-06
TID,Bou Chekif Airport,Algeria,3,0.0004945598417408506,0.0,6.5556448711419214e-06
TIN,Tindouf Airport,Algeria,0,0.0,0.0,3.2879294820093764e-76
CFK,Ech Cheliff Airport,Algeria,0,0.0,0.0,3.2879294820093764e-76
